critical_count,serious_count,minor_count,inspection_id
3.0,2.0,4.0,2282938
2.0,0.0,2.0,2282939
2.0,4.0,3.0,2282929
3.0,3.0,3.0,2282921
1.0,0.0,0.0,2282919
0.0,0.0,1.0,2282901
2.0,0.0,0.0,2282914
3.0,2.0,0.0,2282928
3.0,2.0,0.0,2282923
3.0,1.0,1.0,2282946
3.0,1.0,0.0,2282903
2.0,0.0,2.0,2282948
1.0,2.0,2.0,2282951
2.0,1.0,0.0,2282917
0.0,0.0,0.0,2282941
3.0,2.0,1.0,2282920
2.0,0.0,1.0,2282926
3.0,0.0,0.0,2282905
1.0,0.0,0.0,2282953
0.0,0.0,0.0,2282952
1.0,0.0,3.0,2282876
2.0,0.0,1.0,2282827
3.0,0.0,0.0,2282871
2.0,0.0,0.0,2282880
3.0,3.0,2.0,2282850
0.0,1.0,0.0,2282878
2.0,1.0,1.0,2282870
0.0,1.0,1.0,2282892
2.0,2.0,2.0,2282832
4.0,1.0,0.0,2282855
2.0,2.0,2.0,2282894
3.0,1.0,2.0,2282881
2.0,1.0,1.0,2282843
2.0,0.0,1.0,2282882
3.0,1.0,2.0,2282848
0.0,0.0,0.0,2282829
2.0,3.0,2.0,2282879
2.0,1.0,0.0,2282844
3.0,2.0,2.0,2282849
2.0,4.0,5.0,2282895
2.0,2.0,0.0,2282830
3.0,2.0,2.0,2282887
2.0,1.0,1.0,2282889
3.0,4.0,4.0,2282763
1.0,1.0,1.0,2282759
1.0,2.0,1.0,2282756
1.0,0.0,3.0,2282804
2.0,3.0,1.0,2282813
2.0,0.0,0.0,2282807
3.0,2.0,1.0,2282771
0.0,0.0,0.0,2282765
1.0,1.0,0.0,2282738
3.0,3.0,0.0,2282791
2.0,1.0,2.0,2282767
2.0,1.0,3.0,2282805
2.0,1.0,2.0,2282774
1.0,0.0,3.0,2179211
1.0,1.0,0.0,2282794
2.0,0.0,2.0,2282800
0.0,0.0,0.0,2282613
0.0,0.0,1.0,2282786
2.0,0.0,0.0,2282810
2.0,0.0,1.0,2282781
3.0,2.0,3.0,2282768
1.0,0.0,0.0,2282779
2.0,4.0,3.0,2282817
3.0,2.0,2.0,2282742
1.0,0.0,0.0,2282737
1.0,2.0,1.0,2282755
2.0,1.0,1.0,2282802
0.0,0.0,0.0,2282775
2.0,0.0,0.0,2282795
0.0,0.0,0.0,2282783
0.0,0.0,0.0,2282787
1.0,0.0,0.0,2282785
0.0,0.0,2.0,2282809
0.0,0.0,0.0,2282735
2.0,2.0,0.0,2282679
0.0,0.0,0.0,2282674
1.0,0.0,0.0,2282707
2.0,1.0,1.0,2282706
2.0,0.0,2.0,2282694
0.0,0.0,1.0,2282696
0.0,2.0,2.0,2282686
1.0,2.0,0.0,2282705
2.0,0.0,0.0,2282729
1.0,0.0,0.0,2282711
2.0,0.0,1.0,2282718
3.0,2.0,0.0,2282678
4.0,2.0,0.0,2282697
1.0,1.0,0.0,2282677
2.0,2.0,2.0,2282723
1.0,2.0,2.0,2282659
0.0,0.0,0.0,2282655
3.0,2.0,1.0,2282661
0.0,0.0,1.0,2282656
3.0,3.0,1.0,2282651
1.0,1.0,0.0,2282648
1.0,1.0,1.0,2282591
0.0,0.0,0.0,2282636
2.0,1.0,0.0,2282615
5.0,3.0,5.0,2282573
2.0,2.0,2.0,2282635
0.0,0.0,0.0,2282628
0.0,0.0,1.0,2282644
0.0,0.0,0.0,2282637
3.0,1.0,0.0,2282627
1.0,0.0,0.0,2282797
0.0,1.0,0.0,2282614
3.0,1.0,0.0,2282632
0.0,0.0,0.0,2282623
2.0,0.0,1.0,2282587
1.0,0.0,0.0,2282586
6.0,5.0,5.0,2282645
1.0,0.0,1.0,2282609
1.0,0.0,0.0,2282631
0.0,0.0,0.0,2282600
0.0,0.0,0.0,2282619
2.0,0.0,1.0,2282638
0.0,0.0,0.0,2282567
0.0,0.0,1.0,2282605
3.0,1.0,2.0,2282630
0.0,0.0,0.0,2282626
0.0,0.0,0.0,2282611
3.0,1.0,2.0,2282502
0.0,0.0,0.0,2282503
1.0,1.0,0.0,2282528
3.0,1.0,1.0,2282539
2.0,2.0,3.0,2282543
3.0,0.0,3.0,2282494
2.0,1.0,0.0,2282512
3.0,0.0,2.0,2282548
2.0,2.0,1.0,2282460
2.0,1.0,1.0,2282522
0.0,0.0,0.0,2282523
0.0,0.0,2.0,2282518
2.0,3.0,0.0,2282497
5.0,2.0,3.0,2282525
0.0,0.0,0.0,2282533
1.0,0.0,2.0,2282463
3.0,0.0,0.0,2282480
2.0,0.0,0.0,2282468
